n_ord,SourceFile,FileName,FileSize,FilePermissions,FileType,FileTypeExtension,MIMEType,PDFVersion,Linearized,PageCount,Language,TaggedPDF,XMPToolkit,Producer,Creator,CreatorTool,CreateDate,ModifyDate,DocumentID,InstanceID,Author,righe,Format,Part,Conformance,Title,Description,Subject,History,Keywords,MetadataDate,RenditionClass,VersionID,HistoryAction,HistoryInstanceID,HistoryParameters,HistorySoftwareAgent,HistoryWhen,SchemasNamespaceURI,SchemasPrefix,SchemasSchema,SchemasPropertyCategory,SchemasPropertyDescription,SchemasPropertyName,SchemasPropertyValueType,DerivedFromInstanceID,DerivedFromDocumentID,AppleKeywords,ThumbnailWidth,ThumbnailHeight,ThumbnailFormat,ThumbnailImage,OriginalDocumentID,DerivedFromOriginalDocumentID,DerivedFromRenditionClass,HistoryChanged,ManifestLinkForm,ManifestReferenceFilePath,ManifestReferenceDocumentID,ManifestReferenceInstanceID,IngredientsFilePath,IngredientsDocumentID,IngredientsInstanceID,StartupProfile,CreatorSubTool,HasVisibleOverprint,HasVisibleTransparency,NPages,MaxPageSizeW,MaxPageSizeH,MaxPageSizeUnit,FontName,FontFamily,FontFace,FontType,FontVersion,FontComposite,FontFileName,PlateNames,SwatchGroupName,SwatchGroupType,SwatchColorantSwatchName,SwatchColorantMode,SwatchColorantType,SwatchColorantCyan,SwatchColorantMagenta,SwatchColorantYellow,SwatchColorantBlack,SwatchColorantTint,ProfileCMMType,ProfileVersion,ProfileClass,ColorSpaceData,ProfileConnectionSpace,ProfileDateTime,ProfileFileSignature,PrimaryPlatform,CMMFlags,DeviceManufacturer,DeviceModel,DeviceAttributes,RenderingIntent,ConnectionSpaceIlluminant,ProfileCreator,ProfileID,ProfileCopyright,ProfileDescription,MediaWhitePoint,MediaBlackPoint,RedMatrixColumn,GreenMatrixColumn,BlueMatrixColumn,DeviceMfgDesc,DeviceModelDesc,ViewingCondDesc,ViewingCondIlluminant,ViewingCondSurround,ViewingCondIlluminantType,Luminance,MeasurementObserver,MeasurementBacking,MeasurementGeometry,MeasurementFlare,MeasurementIlluminant,Technology,RedTRC,GreenTRC,BlueTRC
30,(30_progr_2_)-24_progr_politico.pdf,(30_progr_2_)-24_progr_politico.pdf,11499167,644,PDF,PDF,application/pdf,1.4,true,13,,,"Adobe XMP Core 5.4-c006 80.159825, 2016/09/16-03:31:08        ",bizhub C3350,bizhub C3350,bizhub C3350,2018:01:17 19:03:35+01:00,2018:01:22 11:10:07+01:00,uuid:3a14bb28-41f2-4b56-a056-3e262931a87f,uuid:fd579b32-207c-4fcf-9903-b6b03fb7a091,,0,application/pdf,1,B,,,,,,2018:01:22 11:10:07+01:00,default,1,converted,uuid:da5bea50-3b80-43d3-926a-4fae68f05bfc,converted to PDF/A-1b,Preflight,2018:01:22 11:10:06+01:00,http://ns.adobe.com/pdf/1.3/,pdf,Adobe PDF Schema,internal,A name object indicating whether the document has been modified to include trapping information,Trapped,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,(35_progr_2_)-progrm_eletto.1.pdf,(35_progr_2_)-progrm_eletto.1.pdf,204994,644,PDF,PDF,application/pdf,1.7,false,1,,,,iLovePDF,,,,2022:08:11 17:33:48Z,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,(43_progr_2_)-pdfa_-_programma_forza_italia_politiche_2022.pdf,(43_progr_2_)-pdfa_-_programma_forza_italia_politiche_2022.pdf,9642240,644,PDF,PDF,application/pdf,1.4,true,18,,,"Adobe XMP Core 7.1-c000 79.cb7c5a1, 2022/04/14-05:22:35        ",RICOH IM C2500,RICOH IM C2500,RICOH IM C2500,2022:08:11 18:21:50+02:00,2022:08:11 18:18:51+02:00,uuid:78ae7a39-686d-41b7-9bb5-7d11f3146edc,uuid:721b1bca-f1da-4bfb-9b34-50b3de15b041,,0,application/pdf,1,B,,,,,,2022:08:11 18:18:51+02:00,default,1,converted,uuid:78ae7a39-686d-41b7-9bb5-7d11f3146edc,converted to PDF/A-1b,Preflight,2022:08:11 18:18:51+02:00,http://ns.adobe.com/pdf/1.3/,pdf,Adobe PDF Schema,internal,A name object indicating whether the document has been modified to include trapping information,Trapped,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,(44_progr_2_)-programma_apli_pdf_a.pdf,(44_progr_2_)-programma_apli_pdf_a.pdf,254897,644,PDF,PDF,application/pdf,1.6,true,1,,,"Adobe XMP Core 7.1-c000 79.cb7c5a1, 2022/04/14-05:22:35        ",Acrobat Pro DC 22 Paper Capture Plug-in,Adobe Acrobat 22.2,Adobe Acrobat 22.2,2022:08:11 21:45:20+02:00,2022:08:11 21:46:12+02:00,uuid:c70a6138-2288-2240-b05f-e87c63e4f2f7,uuid:ac3db953-dcb3-aa4c-9d1a-ad9ac8400416,,45,application/pdf,2,B,,,,,,2022:08:11 21:46:12+02:00,default,1,converted,uuid:6b85f1cc-189d-814a-beda-414ab61e6525,converted to PDF/A-2b,Preflight,2022:08:11 21:46:12+02:00,http://ns.adobe.com/pdf/1.3/,pdf,Adobe PDF Schema,internal,A name object indicating whether the document has been modified to include trapping information,Trapped,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,(45_progr_2_)-03_programma_e_indicazione_capo_politico.pdf,(45_progr_2_)-03_programma_e_indicazione_capo_politico.pdf,25278116,644,PDF,PDF,application/pdf,1.7,true,5,,,"Adobe XMP Core 7.1-c000 79.cb7c5a1, 2022/04/14-05:22:35        ",,,,2022:08:12 11:01:27+02:00,2022:08:12 11:01:27+02:00,uuid:d2d37554-bafa-4024-9d28-174d456bcdc5,uuid:49fda4e6-9362-4e07-a5c5-7f772cef3113,,0,application/pdf,,,,,,,,2022:08:12 11:01:27+02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,(48_progr_2_)-programma.pdf,(48_progr_2_)-programma.pdf,23618724,644,PDF,PDF,application/pdf,1.3,false,18,,,,"macOS Versione 12.4 (Build 21F79) Quartz PDFContext, AppendMode 1.1",,,2022:08:12 09:41:31Z,2022:08:12 09:43:40Z,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,(53_progr_2_)-programma.pdf,(53_progr_2_)-programma.pdf,114572,644,PDF,PDF,application/pdf,1.4,false,1,it-IT,true,3.1-701,Microsoft® Word 2013,Simonetta Sarta,Microsoft® Word 2013,2022:08:21 15:36:15+02:00,2022:08:21 15:36:15+02:00,uuid:9624CA1C-C539-4777-97DC-1EA6E5391910,uuid:9624CA1C-C539-4777-97DC-1EA6E5391910,Simonetta Sarta,15,,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,(54_progr_2_)-programma_impegno_civico-ldm-cd_autenticato.docx.pdf,(54_progr_2_)-programma_impegno_civico-ldm-cd_autenticato.docx.pdf,1484332,644,PDF,PDF,application/pdf,1.3,false,5,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,(60_progr_2_)-60_-_programma_elettorale.pdf,(60_progr_2_)-60_-_programma_elettorale.pdf,1194011,644,PDF,PDF,application/pdf,1.6,false,17,,,"Adobe XMP Core 7.1-c000 79.cb7c5a1, 2022/04/14-05:22:35        ",Develop ineo+ 458,,45C-9,2022:08:22 10:05:04+01:00,2022:08:22 11:23:00+02:00,uuid:6b3e97f507e6160a05040b2d88abdb2d,uuid:27570d5b-789b-4200-8890-2d6077d4bb57,,0,application/pdf,,,l'Italia del Meridione,,,,,2022:08:22 11:23+02:00,default,1,,,,,,,,,,,,,uuid:6b3e97f5-07e6-160a-0504-0b2d88abdb2d,uuid:6b3e97f5-07e6-160a-0504-0b2d88abdb2d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,(65_progr_2_)-programma_di_alleanza_verdi_e_sinistra_in_pdfa.pdf,(65_progr_2_)-programma_di_alleanza_verdi_e_sinistra_in_pdfa.pdf,3238095,644,PDF,PDF,application/pdf,1.4,false,38,,,,Xerox AltaLink C8035,Xerox AltaLink C8035,Xerox AltaLink C8035,2022:08:12 21:52:26Z,2022:08:12 21:52:26Z,,,,2033,,1,B,,,,,,2022:08:12 21:52:26Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,(68_progr_2_)-programma.pdf,(68_progr_2_)-programma.pdf,10466492,644,PDF,PDF,application/pdf,1.4,false,19,,,"Adobe XMP Core 4.2.1-c041 52.342996, 2008/05/07-20:48:00        ",,,hp officejetpro,2022:08:12 11:02:41+00:00,,,,,0,application/pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
