Tipo Elezione;Data elezione;Lista;Ripartizione;Nazione;Voti Liste;Schede Nulle;Schede Bianche;Schede Contestate;Votanti;Elettori
Camera Estero;25/09/2022;MOVIMENTO DELLE LIBERTA';EUROPA;BELGIO;3155;1268;402;18;40176;241812
Camera Estero;25/09/2022;MOVIMENTO 5 STELLE;EUROPA;BELGIO;3105;1268;402;18;40176;241812
Camera Estero;25/09/2022;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;EUROPA;BELGIO;12372;1268;402;18;40176;241812
Camera Estero;25/09/2022;ALLEANZA VERDI E SINISTRA;EUROPA;BULGARIA;24;50;8;0;906;2750
Camera Estero;25/09/2022;AZIONE - ITALIA VIVA - CALENDA;EUROPA;BULGARIA;44;50;8;0;906;2750
Camera Estero;25/09/2022; +EUROPA;EUROPA;BULGARIA;18;50;8;0;906;2750
Camera Estero;25/09/2022;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;EUROPA;BULGARIA;10;50;8;0;906;2750
Camera Estero;25/09/2022;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;EUROPA;BULGARIA;463;50;8;0;906;2750
Camera Estero;25/09/2022;MOVIMENTO DELLE LIBERTA';EUROPA;BULGARIA;13;50;8;0;906;2750
Camera Estero;25/09/2022;MOVIMENTO 5 STELLE;EUROPA;BULGARIA;132;50;8;0;906;2750
Camera Estero;25/09/2022;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;EUROPA;BULGARIA;111;50;8;0;906;2750
Camera Estero;25/09/2022;ALLEANZA VERDI E SINISTRA;EUROPA;REPUBBLICA CECA;221;68;23;0;2184;5769
Camera Estero;25/09/2022;AZIONE - ITALIA VIVA - CALENDA;EUROPA;REPUBBLICA CECA;260;68;23;0;2184;5769
Camera Estero;25/09/2022; +EUROPA;EUROPA;REPUBBLICA CECA;159;68;23;0;2184;5769
Camera Estero;25/09/2022;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;EUROPA;REPUBBLICA CECA;17;68;23;0;2184;5769
Camera Estero;25/09/2022;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;EUROPA;REPUBBLICA CECA;624;68;23;0;2184;5769
Camera Estero;25/09/2022;MOVIMENTO DELLE LIBERTA';EUROPA;REPUBBLICA CECA;32;68;23;0;2184;5769
Camera Estero;25/09/2022;MOVIMENTO 5 STELLE;EUROPA;REPUBBLICA CECA;277;68;23;0;2184;5769
Camera Estero;25/09/2022;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;EUROPA;REPUBBLICA CECA;448;68;23;0;2184;5769
Camera Estero;25/09/2022;ALLEANZA VERDI E SINISTRA;EUROPA;STATO CITTA' DEL VATICANO;0;0;0;0;0;12
Camera Estero;25/09/2022;AZIONE - ITALIA VIVA - CALENDA;EUROPA;STATO CITTA' DEL VATICANO;0;0;0;0;0;12
Camera Estero;25/09/2022; +EUROPA;EUROPA;STATO CITTA' DEL VATICANO;0;0;0;0;0;12
Camera Estero;25/09/2022;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;EUROPA;STATO CITTA' DEL VATICANO;0;0;0;0;0;12
Camera Estero;25/09/2022;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;EUROPA;STATO CITTA' DEL VATICANO;0;0;0;0;0;12
Camera Estero;25/09/2022;MOVIMENTO DELLE LIBERTA';EUROPA;STATO CITTA' DEL VATICANO;0;0;0;0;0;12
Camera Estero;25/09/2022;MOVIMENTO 5 STELLE;EUROPA;STATO CITTA' DEL VATICANO;0;0;0;0;0;12
Camera Estero;25/09/2022;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;EUROPA;STATO CITTA' DEL VATICANO;0;0;0;0;0;12
Camera Estero;25/09/2022;ALLEANZA VERDI E SINISTRA;EUROPA;DANIMARCA;570;106;47;0;3540;9478
Camera Estero;25/09/2022;AZIONE - ITALIA VIVA - CALENDA;EUROPA;DANIMARCA;405;106;47;0;3540;9478
Camera Estero;25/09/2022; +EUROPA;EUROPA;DANIMARCA;386;106;47;0;3540;9478
Camera Estero;25/09/2022;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;EUROPA;DANIMARCA;35;106;47;0;3540;9478
Camera Estero;25/09/2022;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;EUROPA;DANIMARCA;337;106;47;0;3540;9478
Camera Estero;25/09/2022;MOVIMENTO DELLE LIBERTA';EUROPA;DANIMARCA;30;106;47;0;3540;9478
Camera Estero;25/09/2022;MOVIMENTO 5 STELLE;EUROPA;DANIMARCA;424;106;47;0;3540;9478
Camera Estero;25/09/2022;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;EUROPA;DANIMARCA;1137;106;47;0;3540;9478
Camera Estero;25/09/2022;ALLEANZA VERDI E SINISTRA;EUROPA;FINLANDIA;215;59;18;0;1584;3813
Camera Estero;25/09/2022;AZIONE - ITALIA VIVA - CALENDA;EUROPA;FINLANDIA;159;59;18;0;1584;3813
Camera Estero;25/09/2022; +EUROPA;EUROPA;FINLANDIA;166;59;18;0;1584;3813
Camera Estero;25/09/2022;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;EUROPA;FINLANDIA;10;59;18;0;1584;3813
Camera Estero;25/09/2022;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;EUROPA;FINLANDIA;218;59;18;0;1584;3813
Camera Estero;25/09/2022;MOVIMENTO DELLE LIBERTA';EUROPA;FINLANDIA;24;59;18;0;1584;3813
Camera Estero;25/09/2022;MOVIMENTO 5 STELLE;EUROPA;FINLANDIA;205;59;18;0;1584;3813
Camera Estero;25/09/2022;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;EUROPA;FINLANDIA;468;59;18;0;1584;3813
Camera Estero;25/09/2022;ALLEANZA VERDI E SINISTRA;EUROPA;FRANCIA;9554;4960;1829;32;89545;361826
Camera Estero;25/09/2022;AZIONE - ITALIA VIVA - CALENDA;EUROPA;FRANCIA;6488;4960;1829;32;89545;361826
Camera Estero;25/09/2022; +EUROPA;EUROPA;FRANCIA;4661;4960;1829;32;89545;361826
Camera Estero;25/09/2022;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;EUROPA;FRANCIA;1714;4960;1829;32;89545;361826
Camera Estero;25/09/2022;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;EUROPA;FRANCIA;19199;4960;1829;32;89545;361826
Camera Estero;25/09/2022;MOVIMENTO DELLE LIBERTA';EUROPA;FRANCIA;2346;4960;1829;32;89545;361826
Camera Estero;25/09/2022;MOVIMENTO 5 STELLE;EUROPA;FRANCIA;7842;4960;1829;32;89545;361826
Camera Estero;25/09/2022;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;EUROPA;FRANCIA;27491;4960;1829;32;89545;361826
Camera Estero;25/09/2022;ALLEANZA VERDI E SINISTRA;EUROPA;GERMANIA;10274;7244;1922;223;145167;672450
Camera Estero;25/09/2022;AZIONE - ITALIA VIVA - CALENDA;EUROPA;GERMANIA;7964;7244;1922;223;145167;672450
Camera Estero;25/09/2022; +EUROPA;EUROPA;GERMANIA;5337;7244;1922;223;145167;672450
Camera Estero;25/09/2022;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;EUROPA;GERMANIA;3448;7244;1922;223;145167;672450
Camera Estero;25/09/2022;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;EUROPA;GERMANIA;40640;7244;1922;223;145167;672450
Camera Estero;25/09/2022;MOVIMENTO DELLE LIBERTA';EUROPA;GERMANIA;6243;7244;1922;223;145167;672450
Camera Estero;25/09/2022;MOVIMENTO 5 STELLE;EUROPA;GERMANIA;18281;7244;1922;223;145167;672450
Camera Estero;25/09/2022;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;EUROPA;GERMANIA;37098;7244;1922;223;145167;672450
Camera Estero;25/09/2022;ALLEANZA VERDI E SINISTRA;EUROPA;REGNO UNITO;7511;4538;804;13;86299;345972
Camera Estero;25/09/2022;AZIONE - ITALIA VIVA - CALENDA;EUROPA;REGNO UNITO;8957;4538;804;13;86299;345972
Camera Estero;25/09/2022; +EUROPA;EUROPA;REGNO UNITO;4665;4538;804;13;86299;345972
Camera Estero;25/09/2022;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;EUROPA;REGNO UNITO;1117;4538;804;13;86299;345972
Camera Estero;25/09/2022;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;EUROPA;REGNO UNITO;13766;4538;804;13;86299;345972
Camera Estero;25/09/2022;MOVIMENTO DELLE LIBERTA';EUROPA;REGNO UNITO;2177;4538;804;13;86299;345972
Camera Estero;25/09/2022;MOVIMENTO 5 STELLE;EUROPA;REGNO UNITO;9752;4538;804;13;86299;345972
Camera Estero;25/09/2022;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;EUROPA;REGNO UNITO;27670;4538;804;13;86299;345972
Camera Estero;25/09/2022;ALLEANZA VERDI E SINISTRA;EUROPA;GRECIA;425;157;74;3;4233;10572
Camera Estero;25/09/2022;AZIONE - ITALIA VIVA - CALENDA;EUROPA;GRECIA;237;157;74;3;4233;10572
Camera Estero;25/09/2022; +EUROPA;EUROPA;GRECIA;185;157;74;3;4233;10572
Camera Estero;25/09/2022;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;EUROPA;GRECIA;86;157;74;3;4233;10572
Camera Estero;25/09/2022;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;EUROPA;GRECIA;964;157;74;3;4233;10572
Camera Estero;25/09/2022;MOVIMENTO DELLE LIBERTA';EUROPA;GRECIA;98;157;74;3;4233;10572
Camera Estero;25/09/2022;MOVIMENTO 5 STELLE;EUROPA;GRECIA;435;157;74;3;4233;10572
Camera Estero;25/09/2022;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;EUROPA;GRECIA;1252;157;74;3;4233;10572
Camera Estero;25/09/2022;ALLEANZA VERDI E SINISTRA;EUROPA;IRLANDA;754;272;75;0;5787;18366
Camera Estero;25/09/2022;AZIONE - ITALIA VIVA - CALENDA;EUROPA;IRLANDA;604;272;75;0;5787;18366
Camera Estero;25/09/2022; +EUROPA;EUROPA;IRLANDA;583;272;75;0;5787;18366
Camera Estero;25/09/2022;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;EUROPA;IRLANDA;44;272;75;0;5787;18366
Camera Estero;25/09/2022;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;EUROPA;IRLANDA;801;272;75;0;5787;18366
Camera Estero;25/09/2022;MOVIMENTO DELLE LIBERTA';EUROPA;IRLANDA;126;272;75;0;5787;18366
Camera Estero;25/09/2022;MOVIMENTO 5 STELLE;EUROPA;IRLANDA;835;272;75;0;5787;18366
Camera Estero;25/09/2022;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;EUROPA;IRLANDA;1599;272;75;0;5787;18366
Camera Estero;25/09/2022;ALLEANZA VERDI E SINISTRA;EUROPA;ISLANDA;34;8;1;0;117;394
Camera Estero;25/09/2022;AZIONE - ITALIA VIVA - CALENDA;EUROPA;ISLANDA;4;8;1;0;117;394
Camera Estero;25/09/2022; +EUROPA;EUROPA;ISLANDA;14;8;1;0;117;394
Camera Estero;25/09/2022;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;EUROPA;ISLANDA;1;8;1;0;117;394
Camera Estero;25/09/2022;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;EUROPA;ISLANDA;13;8;1;0;117;394
Camera Estero;25/09/2022;MOVIMENTO DELLE LIBERTA';EUROPA;ISLANDA;0;8;1;0;117;394
Camera Estero;25/09/2022;MOVIMENTO 5 STELLE;EUROPA;ISLANDA;15;8;1;0;117;394
Camera Estero;25/09/2022;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;EUROPA;ISLANDA;24;8;1;0;117;394
Camera Estero;25/09/2022;ALLEANZA VERDI E SINISTRA;EUROPA;SERBIA;46;49;4;0;588;1501
Camera Estero;25/09/2022;AZIONE - ITALIA VIVA - CALENDA;EUROPA;SERBIA;19;49;4;0;588;1501
Camera Estero;25/09/2022; +EUROPA;EUROPA;SERBIA;15;49;4;0;588;1501
Camera Estero;25/09/2022;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;EUROPA;SERBIA;10;49;4;0;588;1501
Camera Estero;25/09/2022;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;EUROPA;SERBIA;222;49;4;0;588;1501
Camera Estero;25/09/2022;MOVIMENTO DELLE LIBERTA';EUROPA;SERBIA;28;49;4;0;588;1501
Camera Estero;25/09/2022;MOVIMENTO 5 STELLE;EUROPA;SERBIA;58;49;4;0;588;1501
Camera Estero;25/09/2022;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;EUROPA;SERBIA;95;49;4;0;588;1501
Camera Estero;25/09/2022;ALLEANZA VERDI E SINISTRA;EUROPA;LIECHTENSTEIN;11;19;6;0;382;1299
Camera Estero;25/09/2022;AZIONE - ITALIA VIVA - CALENDA;EUROPA;LIECHTENSTEIN;20;19;6;0;382;1299
Camera Estero;25/09/2022; +EUROPA;EUROPA;LIECHTENSTEIN;4;19;6;0;382;1299
Camera Estero;25/09/2022;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;EUROPA;LIECHTENSTEIN;3;19;6;0;382;1299
Camera Estero;25/09/2022;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;EUROPA;LIECHTENSTEIN;170;19;6;0;382;1299
Camera Estero;25/09/2022;MOVIMENTO DELLE LIBERTA';EUROPA;LIECHTENSTEIN;8;19;6;0;382;1299
Camera Estero;25/09/2022;MOVIMENTO 5 STELLE;EUROPA;LIECHTENSTEIN;23;19;6;0;382;1299
Camera Estero;25/09/2022;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;EUROPA;LIECHTENSTEIN;92;19;6;0;382;1299
Camera Estero;25/09/2022;ALLEANZA VERDI E SINISTRA;EUROPA;LUSSEMBURGO;475;483;216;0;9049;25725
Camera Estero;25/09/2022;AZIONE - ITALIA VIVA - CALENDA;EUROPA;LUSSEMBURGO;1211;483;216;0;9049;25725
Camera Estero;25/09/2022; +EUROPA;EUROPA;LUSSEMBURGO;591;483;216;0;9049;25725
Camera Estero;25/09/2022;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;EUROPA;LUSSEMBURGO;143;483;216;0;9049;25725
Camera Estero;25/09/2022;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;EUROPA;LUSSEMBURGO;1841;483;216;0;9049;25725
Camera Estero;25/09/2022;MOVIMENTO DELLE LIBERTA';EUROPA;LUSSEMBURGO;126;483;216;0;9049;25725
Camera Estero;25/09/2022;MOVIMENTO 5 STELLE;EUROPA;LUSSEMBURGO;780;483;216;0;9049;25725
Camera Estero;25/09/2022;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;EUROPA;LUSSEMBURGO;2732;483;216;0;9049;25725
Camera Estero;25/09/2022;ALLEANZA VERDI E SINISTRA;EUROPA;MALTA;154;180;21;0;2437;7660
Camera Estero;25/09/2022;AZIONE - ITALIA VIVA - CALENDA;EUROPA;MALTA;162;180;21;0;2437;7660
Camera Estero;25/09/2022; +EUROPA;EUROPA;MALTA;148;180;21;0;2437;7660
Camera Estero;25/09/2022;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;EUROPA;MALTA;29;180;21;0;2437;7660
Camera Estero;25/09/2022;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;EUROPA;MALTA;852;180;21;0;2437;7660
Camera Estero;25/09/2022;MOVIMENTO DELLE LIBERTA';EUROPA;MALTA;20;180;21;0;2437;7660
Camera Estero;25/09/2022;MOVIMENTO 5 STELLE;EUROPA;MALTA;423;180;21;0;2437;7660
Camera Estero;25/09/2022;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;EUROPA;MALTA;360;180;21;0;2437;7660
Camera Estero;25/09/2022;ALLEANZA VERDI E SINISTRA;EUROPA;MONACO;34;105;45;0;3242;6554
Camera Estero;25/09/2022;AZIONE - ITALIA VIVA - CALENDA;EUROPA;MONACO;471;105;45;0;3242;6554
Camera Estero;25/09/2022; +EUROPA;EUROPA;MONACO;63;105;45;0;3242;6554
Camera Estero;25/09/2022;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;EUROPA;MONACO;17;105;45;0;3242;6554
Camera Estero;25/09/2022;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;EUROPA;MONACO;1991;105;45;0;3242;6554
Camera Estero;25/09/2022;MOVIMENTO DELLE LIBERTA';EUROPA;MONACO;36;105;45;0;3242;6554
Camera Estero;25/09/2022;MOVIMENTO 5 STELLE;EUROPA;MONACO;92;105;45;0;3242;6554
Camera Estero;25/09/2022;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;EUROPA;MONACO;317;105;45;0;3242;6554
Camera Estero;25/09/2022;ALLEANZA VERDI E SINISTRA;EUROPA;NORVEGIA;321;93;34;0;2634;6050
Camera Estero;25/09/2022;AZIONE - ITALIA VIVA - CALENDA;EUROPA;NORVEGIA;224;93;34;0;2634;6050
Camera Estero;25/09/2022; +EUROPA;EUROPA;NORVEGIA;170;93;34;0;2634;6050
Camera Estero;25/09/2022;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;EUROPA;NORVEGIA;24;93;34;0;2634;6050
Camera Estero;25/09/2022;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;EUROPA;NORVEGIA;572;93;34;0;2634;6050
Camera Estero;25/09/2022;MOVIMENTO DELLE LIBERTA';EUROPA;NORVEGIA;35;93;34;0;2634;6050
Camera Estero;25/09/2022;MOVIMENTO 5 STELLE;EUROPA;NORVEGIA;374;93;34;0;2634;6050
Camera Estero;25/09/2022;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;EUROPA;NORVEGIA;706;93;34;0;2634;6050
Camera Estero;25/09/2022;ALLEANZA VERDI E SINISTRA;EUROPA;PAESI BASSI;2393;414;101;12;15401;47880
Camera Estero;25/09/2022;AZIONE - ITALIA VIVA - CALENDA;EUROPA;PAESI BASSI;1869;414;101;12;15401;47880
Camera Estero;25/09/2022; +EUROPA;EUROPA;PAESI BASSI;1709;414;101;12;15401;47880
Camera Estero;25/09/2022;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;EUROPA;PAESI BASSI;122;414;101;12;15401;47880
Camera Estero;25/09/2022;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;EUROPA;PAESI BASSI;2025;414;101;12;15401;47880
Camera Estero;25/09/2022;MOVIMENTO DELLE LIBERTA';EUROPA;PAESI BASSI;149;414;101;12;15401;47880
Camera Estero;25/09/2022;MOVIMENTO 5 STELLE;EUROPA;PAESI BASSI;1581;414;101;12;15401;47880
Camera Estero;25/09/2022;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;EUROPA;PAESI BASSI;4615;414;101;12;15401;47880
Camera Estero;25/09/2022;ALLEANZA VERDI E SINISTRA;EUROPA;POLONIA;159;98;20;0;2320;6378
Camera Estero;25/09/2022;AZIONE - ITALIA VIVA - CALENDA;EUROPA;POLONIA;230;98;20;0;2320;6378
Camera Estero;25/09/2022; +EUROPA;EUROPA;POLONIA;131;98;20;0;2320;6378
Camera Estero;25/09/2022;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;EUROPA;POLONIA;32;98;20;0;2320;6378
Camera Estero;25/09/2022;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;EUROPA;POLONIA;704;98;20;0;2320;6378
Camera Estero;25/09/2022;MOVIMENTO DELLE LIBERTA';EUROPA;POLONIA;44;98;20;0;2320;6378
Camera Estero;25/09/2022;MOVIMENTO 5 STELLE;EUROPA;POLONIA;290;98;20;0;2320;6378
Camera Estero;25/09/2022;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;EUROPA;POLONIA;523;98;20;0;2320;6378
Camera Estero;25/09/2022;ALLEANZA VERDI E SINISTRA;EUROPA;PORTOGALLO;554;296;89;6;5564;15221
Camera Estero;25/09/2022;AZIONE - ITALIA VIVA - CALENDA;EUROPA;PORTOGALLO;586;296;89;6;5564;15221
Camera Estero;25/09/2022; +EUROPA;EUROPA;PORTOGALLO;311;296;89;6;5564;15221
Camera Estero;25/09/2022;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;EUROPA;PORTOGALLO;56;296;89;6;5564;15221
Camera Estero;25/09/2022;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;EUROPA;PORTOGALLO;1526;296;89;6;5564;15221
Camera Estero;25/09/2022;MOVIMENTO DELLE LIBERTA';EUROPA;PORTOGALLO;93;296;89;6;5564;15221
Camera Estero;25/09/2022;MOVIMENTO 5 STELLE;EUROPA;PORTOGALLO;552;296;89;6;5564;15221
Camera Estero;25/09/2022;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;EUROPA;PORTOGALLO;1393;296;89;6;5564;15221
Camera Estero;25/09/2022;ALLEANZA VERDI E SINISTRA;EUROPA;ROMANIA;38;72;10;0;1759;6969
Camera Estero;25/09/2022;AZIONE - ITALIA VIVA - CALENDA;EUROPA;ROMANIA;114;72;10;0;1759;6969
Camera Estero;25/09/2022; +EUROPA;EUROPA;ROMANIA;35;72;10;0;1759;6969
Camera Estero;25/09/2022;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;EUROPA;ROMANIA;29;72;10;0;1759;6969
Camera Estero;25/09/2022;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;EUROPA;ROMANIA;852;72;10;0;1759;6969
Camera Estero;25/09/2022;MOVIMENTO DELLE LIBERTA';EUROPA;ROMANIA;51;72;10;0;1759;6969
Camera Estero;25/09/2022;MOVIMENTO 5 STELLE;EUROPA;ROMANIA;184;72;10;0;1759;6969
Camera Estero;25/09/2022;PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA;EUROPA;ROMANIA;290;72;10;0;1759;6969
Camera Estero;25/09/2022;ALLEANZA VERDI E SINISTRA;EUROPA;SAN MARINO;373;397;94;0;6972;11312
Camera Estero;25/09/2022;AZIONE - ITALIA VIVA - CALENDA;EUROPA;SAN MARINO;516;397;94;0;6972;11312
Camera Estero;25/09/2022; +EUROPA;EUROPA;SAN MARINO;259;397;94;0;6972;11312
Camera Estero;25/09/2022;IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO;EUROPA;SAN MARINO;36;397;94;0;6972;11312
Camera Estero;25/09/2022;LEGA PER SALVINI PREMIER - FORZA ITALIA - FRATELLI D'ITALIA;EUROPA;SAN MARINO;3137;397;94;0;6972;11312
