CR_CP,r_pos,voti,perc,sg_ass_uni,sg_ass_prop,l_pos,pos,desc_lis,img_lis,seggi
05-052,34,34917,2.46,0,0,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png,0
06-061,1,48767,8.23,0,0,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png,0
06-061,8,10883,1.84,0,0,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png,0
06-061,9,743,0.13,0,0,0,7,MASTELLA NOI DI CENTRO EUROPEISTI,3-20220925000000-7.png,0
06-061,13,8908,1.50,0,0,0,6,VITA,3-20220925000000-6.png,0
06-061,21,6891,1.16,0,0,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png,0
06-061,22,191331,32.29,1,0,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png,0
06-061,22,64525,10.89,1,0,1,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png,0
06-061,22,37761,6.37,1,0,2,11,FORZA ITALIA,3-20220925000000-11.png,0
06-061,22,4655,0.79,1,0,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png,0
06-061,25,43778,7.39,0,0,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png,0
06-061,27,109367,18.46,0,0,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png,0
06-061,27,22271,3.76,0,0,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16-A.png,0
06-061,27,20031,3.38,0,0,2,18,+EUROPA,3-20220925000000-18.png,0
06-061,27,2261,0.38,0,0,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png,0
06-061,28,2386,0.40,0,0,0,5,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,3-20220925000000-5.png,0
06-061,34,17925,3.03,0,0,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png,0
07-071,1,51948,7.22,0,0,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png,0
07-071,8,11450,1.59,0,0,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png,0
07-071,9,631,0.09,0,0,0,7,MASTELLA NOI DI CENTRO EUROPEISTI,3-20220925000000-7.png,0
07-071,13,5800,0.81,0,0,0,6,VITA,3-20220925000000-6.png,0
07-071,21,10929,1.52,0,0,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png,0
07-071,22,175547,24.40,1,0,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png,0
07-071,22,63193,8.78,1,0,1,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png,0
07-071,22,48451,6.73,1,0,2,11,FORZA ITALIA,3-20220925000000-11.png,0
07-071,22,18710,2.60,1,0,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png,0
07-071,25,92897,12.91,0,0,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png,0
07-071,27,159805,22.21,0,0,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png,0
07-071,27,29936,4.16,0,0,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png,0
07-071,27,24060,3.34,0,0,2,18,+EUROPA,3-20220925000000-18.png,0
07-071,27,3341,0.46,0,0,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png,0
07-071,34,18518,2.57,0,0,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png,0
07-071,49,4368,0.61,0,0,0,20,PARTITO COMUNISTA DEI LAVORATORI,3-20220925000000-20.png,0
08-081,1,82909,8.57,0,0,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png,0
08-081,8,11576,1.20,0,0,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png,0
08-081,9,873,0.09,0,0,0,7,MASTELLA NOI DI CENTRO EUROPEISTI,3-20220925000000-7.png,0
08-081,13,8849,0.91,0,0,0,6,VITA,3-20220925000000-6.png,0
08-081,21,11250,1.16,0,0,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png,0
08-081,22,244539,25.27,1,0,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png,0
08-081,22,81972,8.47,1,0,1,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png,0
08-081,22,58653,6.06,1,0,2,11,FORZA ITALIA,3-20220925000000-11.png,0
