CR,r_pos,voti,perc,sg_ass_uni,sg_ass_prop,l_pos,pos,desc_lis,img_lis
09,8,25646,1.38,0,,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png
09,13,12991,0.70,0,,0,6,VITA,3-20220925000000-6.png
09,21,36963,1.98,0,,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png
09,22,482868,25.93,2,,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png
09,22,119660,6.43,2,,1,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png
09,22,107413,5.77,2,,2,11,FORZA ITALIA,3-20220925000000-11.png
09,22,8260,0.44,2,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png
09,25,209699,11.26,0,,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png
09,27,481369,25.85,1,,0,14,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,3-20220925000000-14.png
09,27,88081,4.73,1,,1,16,ALLEANZA VERDI E SINISTRA,3-20220925000000-16.png
09,27,53940,2.90,1,,2,18,+EUROPA,3-20220925000000-18.png
09,27,7206,0.39,1,,3,10,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,3-20220925000000-10.png
09,34,30697,1.65,0,,0,3,ITALEXIT PER L'ITALIA,3-20220925000000-3.png
10,1,35107,8.05,0,,0,15,AZIONE - ITALIA VIVA - CALENDA,3-20220925000000-15.png
10,4,5199,1.19,0,,0,8,PARTITO COMUNISTA ITALIANO,3-20220925000000-8.png
10,8,5373,1.23,0,,0,4,ITALIA SOVRANA E POPOLARE,3-20220925000000-4.png
10,13,2537,0.58,0,,0,6,VITA,3-20220925000000-6.png
10,21,5052,1.16,0,,0,2,UNIONE POPOLARE CON DE MAGISTRIS,3-20220925000000-2.png
10,22,131759,30.21,1,,0,17,FRATELLI D'ITALIA CON GIORGIA MELONI,3-20220925000000-17.png
10,22,34634,7.94,1,,1,13,LEGA PER SALVINI PREMIER,3-20220925000000-13.png
10,22,31294,7.18,1,,2,11,FORZA ITALIA,3-20220925000000-11.png
10,22,2003,0.46,1,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,3-20220925000000-19.png
10,25,55212,12.66,0,,0,1,MOVIMENTO 5 STELLE,3-20220925000000-1.png
