CR_CP,r_pos,voti,perc,sg_ass_uni,sg_ass_prop,l_pos,pos,desc_lis,img_lis
02-021,22,36736,8.69,2,,2,11,FORZA ITALIA,2-20220925000000-11.png
02-021,22,2387,0.56,2,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
02-021,25,34540,8.17,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
02-021,34,11147,2.64,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
02-022,1,50960,8.69,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
02-022,8,9423,1.61,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
02-022,17,103916,17.71,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
02-022,17,21571,3.68,0,,1,16,+EUROPA,2-20220925000000-16.png
02-022,17,17697,3.02,0,,2,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
02-022,17,2455,0.42,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
02-022,21,7060,1.20,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
02-022,22,176176,30.03,3,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
02-022,22,76184,12.99,3,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
02-022,22,54392,9.27,3,,2,11,FORZA ITALIA,2-20220925000000-11.png
02-022,22,4173,0.71,3,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
02-022,25,47333,8.07,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
02-022,34,15346,2.62,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
03-031,1,136359,13.24,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
03-031,8,11240,1.09,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
03-031,9,853,0.08,0,,0,8,MASTELLA NOI DI CENTRO EUROPEISTI,2-20220925000000-8.png
03-031,13,5431,0.53,0,,0,6,VITA,2-20220925000000-6.png
03-031,17,236667,22.99,2,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
03-031,17,54619,5.31,2,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
03-031,17,48566,4.72,2,,2,16,+EUROPA,2-20220925000000-16.png
03-031,17,4308,0.42,2,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
03-031,21,14726,1.43,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
03-031,22,245158,23.81,2,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
03-031,22,88405,8.59,2,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
03-031,22,67590,6.57,2,,2,11,FORZA ITALIA,2-20220925000000-11.png
03-031,22,11683,1.13,2,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
03-031,25,86605,8.41,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
03-031,34,17304,1.68,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
03-032,1,91981,10.00,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
03-032,8,10325,1.12,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
03-032,9,741,0.08,0,,0,8,MASTELLA NOI DI CENTRO EUROPEISTI,2-20220925000000-8.png
03-032,13,6005,0.65,0,,0,6,VITA,2-20220925000000-6.png
03-032,17,188788,20.53,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
03-032,17,36786,4.00,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
03-032,17,34552,3.76,0,,2,16,+EUROPA,2-20220925000000-16.png
03-032,17,3946,0.43,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
03-032,21,10494,1.14,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
03-032,22,240045,26.10,0,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
03-032,22,106042,11.53,0,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
03-032,22,77225,8.40,0,,2,11,FORZA ITALIA,2-20220925000000-11.png
03-032,22,8959,0.97,0,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
03-032,25,85969,9.35,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
03-032,34,17792,1.93,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
04-041,1,38047,9.82,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
04-041,8,4679,1.21,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
04-041,9,548,0.14,0,,0,8,MASTELLA NOI DI CENTRO EUROPEISTI,2-20220925000000-8.png
04-041,13,2798,0.72,0,,0,6,VITA,2-20220925000000-6.png
