CR_CP,r_pos,voti,perc,sg_ass_uni,sg_ass_prop,l_pos,pos,desc_lis,img_lis
11-111,22,52465,8.52,2,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
11-111,22,40979,6.65,2,,2,11,FORZA ITALIA,2-20220925000000-11.png
11-111,22,3650,0.59,2,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
11-111,25,62115,10.08,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
11-111,32,3713,0.60,0,,0,10,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO,2-20220925000000-10.png
11-111,34,11010,1.79,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
11-112,1,86300,9.25,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
11-112,8,13795,1.48,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
11-112,9,729,0.08,0,,0,8,MASTELLA NOI DI CENTRO EUROPEISTI,2-20220925000000-8.png
11-112,13,9518,1.02,0,,0,6,VITA,2-20220925000000-6.png
11-112,17,286362,30.71,3,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
11-112,17,45148,4.84,3,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
11-112,17,30351,3.25,3,,2,16,+EUROPA,2-20220925000000-16.png
11-112,17,3183,0.34,3,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
11-112,21,16133,1.73,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
11-112,22,211144,22.64,1,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
11-112,22,59708,6.40,1,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
11-112,22,46213,4.96,1,,2,11,FORZA ITALIA,2-20220925000000-11.png
11-112,22,4661,0.50,1,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
11-112,25,97744,10.48,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
11-112,32,5686,0.61,0,,0,10,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO,2-20220925000000-10.png
11-112,34,15879,1.70,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
11-113,1,57201,7.67,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
11-113,8,10321,1.38,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
11-113,9,553,0.07,0,,0,8,MASTELLA NOI DI CENTRO EUROPEISTI,2-20220925000000-8.png
11-113,13,10324,1.38,0,,0,6,VITA,2-20220925000000-6.png
11-113,16,870,0.12,0,,0,15,SUD CHIAMA NORD,2-20220925000000-15.png
11-113,17,200839,26.94,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
11-113,17,27730,3.72,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
11-113,17,21816,2.93,0,,2,16,+EUROPA,2-20220925000000-16.png
11-113,17,2980,0.40,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
11-113,21,8058,1.08,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
11-113,22,202386,27.14,3,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
11-113,22,60774,8.15,3,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
11-113,22,46686,6.26,3,,2,11,FORZA ITALIA,2-20220925000000-11.png
11-113,22,4688,0.63,3,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
11-113,25,67735,9.08,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
11-113,32,5081,0.68,0,,0,10,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO,2-20220925000000-10.png
11-113,34,17546,2.35,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
12-121,1,54604,9.26,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
12-121,8,8790,1.49,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
12-121,13,4290,0.73,0,,0,6,VITA,2-20220925000000-6.png
12-121,17,135032,22.89,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
12-121,17,24525,4.16,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
12-121,17,15733,2.67,0,,2,16,+EUROPA,2-20220925000000-16.png
12-121,17,2539,0.43,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
12-121,21,12453,2.11,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
12-121,22,169701,28.76,3,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
12-121,22,42902,7.27,3,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
12-121,22,41406,7.02,3,,2,11,FORZA ITALIA,2-20220925000000-11.png
12-121,22,3144,0.53,3,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
12-121,25,64365,10.91,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
12-121,34,10502,1.78,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
12-122,1,50635,8.39,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
12-122,8,9783,1.62,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
12-122,13,3976,0.66,0,,0,6,VITA,2-20220925000000-6.png
12-122,17,159874,26.48,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
12-122,17,24683,4.09,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
12-122,17,15770,2.61,0,,2,16,+EUROPA,2-20220925000000-16.png
12-122,17,2809,0.47,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
12-122,21,13266,2.20,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
12-122,22,163797,27.13,3,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
12-122,22,41345,6.85,3,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
12-122,22,33536,5.55,3,,2,11,FORZA ITALIA,2-20220925000000-11.png
12-122,22,3411,0.56,3,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
12-122,25,69921,11.58,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
12-122,34,10963,1.82,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
12-123,1,71284,10.42,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
12-123,8,10596,1.55,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
12-123,13,5318,0.78,0,,0,6,VITA,2-20220925000000-6.png
12-123,17,200623,29.32,2,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
12-123,17,43376,6.34,2,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
12-123,17,22886,3.35,2,,2,16,+EUROPA,2-20220925000000-16.png
12-123,17,2702,0.39,2,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
12-123,21,16353,2.39,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
12-123,22,153841,22.49,1,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
12-123,22,39074,5.71,1,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
12-123,22,29761,4.35,1,,2,11,FORZA ITALIA,2-20220925000000-11.png
12-123,22,2574,0.38,1,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
12-123,25,74954,10.96,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
12-123,34,10797,1.58,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
13-131,1,35601,8.17,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
13-131,4,6027,1.38,0,,0,20,PARTITO COMUNISTA ITALIANO,2-20220925000000-20.png
13-131,8,5987,1.37,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
13-131,9,279,0.06,0,,0,8,MASTELLA NOI DI CENTRO EUROPEISTI,2-20220925000000-8.png
13-131,13,2544,0.58,0,,0,6,VITA,2-20220925000000-6.png
13-131,17,91052,20.89,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
13-131,17,15422,3.54,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
13-131,17,9172,2.10,0,,2,16,+EUROPA,2-20220925000000-16.png
13-131,17,1601,0.37,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
13-131,21,5442,1.25,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
13-131,22,134357,30.82,2,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
13-131,22,33776,7.75,2,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
13-131,22,29789,6.83,2,,2,11,FORZA ITALIA,2-20220925000000-11.png
13-131,22,1809,0.41,2,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
13-131,25,55195,12.66,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
13-131,34,7870,1.81,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
14-141,1,56429,7.40,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
14-141,4,8224,1.08,0,,0,20,PARTITO COMUNISTA ITALIANO,2-20220925000000-20.png
14-141,8,10743,1.41,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
14-141,13,6488,0.85,0,,0,6,VITA,2-20220925000000-6.png
14-141,17,155263,20.37,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
14-141,17,25348,3.33,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
14-141,17,19110,2.51,0,,2,16,+EUROPA,2-20220925000000-16.png
14-141,17,3662,0.48,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
14-141,21,10418,1.37,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
14-141,22,222060,29.14,4,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
14-141,22,60380,7.92,4,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
14-141,22,51768,6.79,4,,2,11,FORZA ITALIA,2-20220925000000-11.png
14-141,22,5920,0.78,4,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
14-141,25,103594,13.59,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
14-141,28,2688,0.35,0,,0,7,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,2-20220925000000-7.png
14-141,34,20066,2.63,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
15-151,1,55136,10.45,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
15-151,8,6401,1.21,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
15-151,13,2160,0.41,0,,0,6,VITA,2-20220925000000-6.png
15-151,17,124131,23.53,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
15-151,17,27152,5.15,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
15-151,17,20633,3.91,0,,2,16,+EUROPA,2-20220925000000-16.png
15-151,17,2629,0.50,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
15-151,21,11536,2.19,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
15-151,22,147341,27.93,0,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
15-151,22,22880,4.34,0,,1,11,FORZA ITALIA,2-20220925000000-11.png
15-151,22,22748,4.31,0,,2,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
15-151,22,2671,0.51,0,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
15-151,25,73462,13.92,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
15-151,28,982,0.19,0,,0,7,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,2-20220925000000-7.png
15-151,34,7172,1.36,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
15-151,54,556,0.11,0,,0,22,PARTITO DELLA FOLLIA CREATIVA,2-20220925000000-22.png
15-152,1,41494,7.03,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
15-152,8,7617,1.29,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
15-152,13,3198,0.54,0,,0,6,VITA,2-20220925000000-6.png
15-152,17,117131,19.85,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
15-152,17,22859,3.87,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
15-152,17,16731,2.83,0,,2,16,+EUROPA,2-20220925000000-16.png
15-152,17,3140,0.53,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
15-152,21,9480,1.61,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
15-152,22,191382,32.43,0,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
15-152,22,36836,6.24,0,,1,11,FORZA ITALIA,2-20220925000000-11.png
15-152,22,35740,6.06,0,,2,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
15-152,22,2707,0.46,0,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
15-152,25,91132,15.44,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
15-152,34,10065,1.71,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
15-152,54,716,0.12,0,,0,22,PARTITO DELLA FOLLIA CREATIVA,2-20220925000000-22.png
15-153,1,56258,9.89,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
15-153,8,7472,1.31,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
15-153,13,3249,0.57,0,,0,6,VITA,2-20220925000000-6.png
15-153,17,120973,21.26,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
15-153,17,23900,4.20,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
15-153,17,20485,3.60,0,,2,16,+EUROPA,2-20220925000000-16.png
15-153,17,2766,0.49,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
15-153,21,8801,1.55,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
15-153,22,173581,30.51,0,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
15-153,22,29444,5.18,0,,1,11,FORZA ITALIA,2-20220925000000-11.png
15-153,22,27178,4.78,0,,2,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
15-153,22,2803,0.49,0,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
15-153,25,82021,14.42,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
15-153,28,1106,0.19,0,,0,7,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,2-20220925000000-7.png
15-153,34,8911,1.57,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
16-161,1,23291,6.00,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
16-161,8,6528,1.68,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
16-161,17,62930,16.21,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
16-161,17,12202,3.14,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
16-161,17,8613,2.22,0,,2,16,+EUROPA,2-20220925000000-16.png
16-161,17,2088,0.54,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
16-161,21,6421,1.65,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
16-161,22,141819,36.53,0,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
16-161,22,30309,7.81,0,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
16-161,22,29587,7.62,0,,2,11,FORZA ITALIA,2-20220925000000-11.png
16-161,22,2035,0.52,0,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
16-161,25,54112,13.94,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
16-161,34,8302,2.14,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
16-162,1,29795,6.24,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
16-162,8,5087,1.07,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
16-162,17,65564,13.74,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
16-162,17,12007,2.52,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
16-162,17,8901,1.87,0,,2,16,+EUROPA,2-20220925000000-16.png
16-162,17,2847,0.60,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
16-162,21,6172,1.29,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
16-162,22,151475,31.74,2,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
16-162,22,58818,12.32,2,,1,11,FORZA ITALIA,2-20220925000000-11.png
16-162,22,47675,9.99,2,,2,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
16-162,22,2149,0.45,2,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
16-162,25,78780,16.51,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
16-162,34,7965,1.67,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
17-171,1,36792,6.28,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
17-171,8,6554,1.12,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
17-171,13,2744,0.47,0,,0,6,VITA,2-20220925000000-6.png
17-171,16,1071,0.18,0,,0,15,SUD CHIAMA NORD,2-20220925000000-15.png
17-171,17,96663,16.50,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
17-171,17,15942,2.72,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
17-171,17,11562,1.97,0,,2,16,+EUROPA,2-20220925000000-16.png
17-171,17,3659,0.62,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
17-171,21,10063,1.72,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
17-171,22,163973,27.99,0,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
17-171,22,65209,11.13,0,,1,11,FORZA ITALIA,2-20220925000000-11.png
17-171,22,47108,8.04,0,,2,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
17-171,22,4017,0.69,0,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
17-171,25,107941,18.42,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
17-171,28,1597,0.27,0,,0,7,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,2-20220925000000-7.png
17-171,34,10953,1.87,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
18-181,1,5666,4.85,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
18-181,8,1939,1.66,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
18-181,9,1387,1.19,0,,0,8,MASTELLA NOI DI CENTRO EUROPEISTI,2-20220925000000-8.png
18-181,17,20636,17.65,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
18-181,17,3373,2.88,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
18-181,17,1762,1.51,0,,2,16,+EUROPA,2-20220925000000-16.png
18-181,17,753,0.64,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
18-181,21,2048,1.75,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
18-181,22,25564,21.86,0,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
18-181,22,13787,11.79,0,,1,11,FORZA ITALIA,2-20220925000000-11.png
18-181,22,9497,8.12,0,,2,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
18-181,22,1961,1.68,0,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
18-181,25,28545,24.41,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
19-191,1,28045,5.25,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
19-191,8,3984,0.75,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
19-191,9,1386,0.26,0,,0,8,MASTELLA NOI DI CENTRO EUROPEISTI,2-20220925000000-8.png
19-191,17,80928,15.15,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
19-191,17,17611,3.30,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
19-191,17,10738,2.01,0,,2,16,+EUROPA,2-20220925000000-16.png
19-191,17,10276,1.92,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
19-191,21,16527,3.09,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
19-191,22,75062,14.05,0,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
19-191,22,40699,7.62,0,,1,11,FORZA ITALIA,2-20220925000000-11.png
19-191,22,11800,2.21,0,,2,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
19-191,22,2768,0.52,0,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
19-191,25,227903,42.65,3,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
19-191,34,6604,1.24,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
19-192,1,34235,5.44,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
19-192,8,4213,0.67,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
19-192,9,2437,0.39,0,,0,8,MASTELLA NOI DI CENTRO EUROPEISTI,2-20220925000000-8.png
19-192,17,86710,13.78,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
19-192,17,18070,2.87,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
19-192,17,14441,2.29,0,,2,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
19-192,17,13355,2.12,0,,3,16,+EUROPA,2-20220925000000-16.png
19-192,21,13712,2.18,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
19-192,22,86302,13.71,0,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
19-192,22,70562,11.21,0,,1,11,FORZA ITALIA,2-20220925000000-11.png
19-192,22,21730,3.45,0,,2,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
19-192,22,4175,0.66,0,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
19-192,25,253215,40.24,3,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
19-192,34,6179,0.98,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
20-201,1,20274,4.41,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
20-201,4,3071,0.67,0,,0,20,PARTITO COMUNISTA ITALIANO,2-20220925000000-20.png
20-201,8,3302,0.72,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
20-201,9,22084,4.80,0,,0,8,MASTELLA NOI DI CENTRO EUROPEISTI,2-20220925000000-8.png
20-201,17,56656,12.32,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
20-201,17,8989,1.95,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
20-201,17,8632,1.88,0,,2,16,+EUROPA,2-20220925000000-16.png
20-201,17,7557,1.64,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
20-201,21,5694,1.24,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
20-201,22,87473,19.02,1,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
20-201,22,47999,10.44,1,,1,11,FORZA ITALIA,2-20220925000000-11.png
20-201,22,33170,7.21,1,,2,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
20-201,22,3508,0.76,1,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
20-201,25,144866,31.50,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
20-201,32,1665,0.36,0,,0,10,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO,2-20220925000000-10.png
20-201,34,4944,1.08,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
20-202,1,33949,5.43,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
20-202,8,5538,0.89,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
