CR,r_pos,voti,perc,sg_ass_uni,sg_ass_prop,l_pos,pos,desc_lis,img_lis
10,17,6,18.75,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
10,17,0,19.44,0,,1,16,+EUROPA,2-20220925000000-16.png
10,17,0,19.44,0,,2,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
10,17,0,19.44,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
10,21,0,,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
10,22,13,40.63,0,,0,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
10,22,7,21.88,0,,1,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
10,22,3,9.38,0,,2,11,FORZA ITALIA,2-20220925000000-11.png
10,22,1,3.13,0,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
10,25,0,,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
10,34,0,,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
11,1,27,5.95,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
11,8,10,2.20,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
11,9,1,0.22,0,,0,8,MASTELLA NOI DI CENTRO EUROPEISTI,2-20220925000000-8.png
11,13,4,0.88,0,,0,6,VITA,2-20220925000000-6.png
11,16,0,,0,,0,15,SUD CHIAMA NORD,2-20220925000000-15.png
11,17,111,24.45,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
11,17,22,4.85,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
11,17,21,4.63,0,,2,16,+EUROPA,2-20220925000000-16.png
11,17,1,0.22,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
11,21,7,1.54,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
11,22,151,33.26,0,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
11,22,32,7.05,0,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
11,22,24,5.29,0,,2,11,FORZA ITALIA,2-20220925000000-11.png
11,22,4,0.88,0,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
11,25,30,6.61,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
11,32,3,0.66,0,,0,10,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO,2-20220925000000-10.png
11,34,6,1.32,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
12,1,0,,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
12,8,0,,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
12,13,0,,0,,0,6,VITA,2-20220925000000-6.png
12,17,0,,0,,0,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
12,17,0,,0,,1,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
12,17,0,,0,,2,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
12,17,0,,0,,3,16,+EUROPA,2-20220925000000-16.png
12,21,0,,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
12,22,0,,0,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
12,22,0,,0,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
12,22,0,,0,,2,11,FORZA ITALIA,2-20220925000000-11.png
12,22,0,,0,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
12,25,0,,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
12,34,0,,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
13,1,15,10.56,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
13,4,1,0.70,0,,0,20,PARTITO COMUNISTA ITALIANO,2-20220925000000-20.png
13,8,1,0.70,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
13,9,0,,0,,0,8,MASTELLA NOI DI CENTRO EUROPEISTI,2-20220925000000-8.png
13,13,2,1.41,0,,0,6,VITA,2-20220925000000-6.png
13,17,27,19.01,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
13,17,6,4.23,0,,1,16,+EUROPA,2-20220925000000-16.png
13,17,2,1.41,0,,2,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
13,17,0,24.66,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
13,21,0,,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
13,22,44,30.99,0,,0,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
13,22,11,7.75,0,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
13,22,10,7.04,0,,2,11,FORZA ITALIA,2-20220925000000-11.png
13,22,1,0.70,0,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
13,25,15,10.56,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
13,34,7,4.93,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
14,1,0,,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
14,4,0,,0,,0,20,PARTITO COMUNISTA ITALIANO,2-20220925000000-20.png
14,8,0,,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
14,13,0,,0,,0,6,VITA,2-20220925000000-6.png
14,17,0,,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
14,17,0,,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
14,17,0,,0,,2,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
14,17,0,,0,,3,16,+EUROPA,2-20220925000000-16.png
14,21,0,,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
14,22,0,,0,,0,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
14,22,0,,0,,1,11,FORZA ITALIA,2-20220925000000-11.png
14,22,0,,0,,2,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
14,22,0,,0,,3,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
14,25,0,,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
14,28,0,,0,,0,7,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,2-20220925000000-7.png
14,34,0,,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
15,1,0,,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
15,8,0,,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
15,13,0,,0,,0,6,VITA,2-20220925000000-6.png
15,17,0,,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
15,17,0,,0,,1,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
15,17,0,,0,,2,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
15,17,0,,0,,3,16,+EUROPA,2-20220925000000-16.png
15,21,0,,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
15,22,0,,0,,0,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
15,22,0,,0,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
15,22,0,,0,,2,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
15,22,0,,0,,3,11,FORZA ITALIA,2-20220925000000-11.png
15,25,0,,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
15,28,0,,0,,0,7,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,2-20220925000000-7.png
15,34,0,,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
15,54,0,,0,,0,22,PARTITO DELLA FOLLIA CREATIVA,2-20220925000000-22.png
16,1,0,,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
16,8,0,,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
16,17,0,,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
16,17,0,,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
16,17,0,,0,,2,16,+EUROPA,2-20220925000000-16.png
16,17,0,,0,,3,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
16,21,0,,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
16,22,0,,0,,0,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
16,22,0,,0,,1,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
16,22,0,,0,,2,11,FORZA ITALIA,2-20220925000000-11.png
16,22,0,,0,,3,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
16,25,0,,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
16,34,0,,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
17,1,0,,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
17,8,0,,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
17,13,0,,0,,0,6,VITA,2-20220925000000-6.png
17,16,0,,0,,0,15,SUD CHIAMA NORD,2-20220925000000-15.png
17,17,0,,0,,0,13,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,2-20220925000000-13.png
17,17,0,,0,,1,17,ALLEANZA VERDI E SINISTRA,2-20220925000000-17.png
17,17,0,,0,,2,9,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,2-20220925000000-9.png
17,17,0,,0,,3,16,+EUROPA,2-20220925000000-16.png
17,21,0,,0,,0,5,UNIONE POPOLARE CON DE MAGISTRIS,2-20220925000000-5.png
17,22,0,,0,,0,11,FORZA ITALIA,2-20220925000000-11.png
17,22,0,,0,,1,14,FRATELLI D'ITALIA CON GIORGIA MELONI,2-20220925000000-14.png
17,22,0,,0,,2,12,LEGA PER SALVINI PREMIER,2-20220925000000-12.png
17,22,0,,0,,3,19,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,2-20220925000000-19.png
17,25,0,,0,,0,3,MOVIMENTO 5 STELLE,2-20220925000000-3.png
17,28,0,,0,,0,7,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,2-20220925000000-7.png
17,34,0,,0,,0,2,ITALEXIT PER L'ITALIA,2-20220925000000-2.png
18,1,0,,0,,0,18,AZIONE - ITALIA VIVA - CALENDA,2-20220925000000-18.png
18,8,0,,0,,0,1,ITALIA SOVRANA E POPOLARE,2-20220925000000-1.png
